Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
814374;2.368333333333333;48.870555555555555;"48°52'14.000""N 2°22'6.000""E";75110;"";15 R BICHAT;75010;PARIS 10E ARRONDISSEMENT;Immeuble;26.7;"Copropriété, Syndic, SCI"
814378;2.333611111111111;48.88194444444444;"48°52'55.000""N 2°20'1.000""E";75109;"";1 R MANSART;75009;PARIS 9E ARRONDISSEMENT;Immeuble;24.0;"Copropriété, Syndic, SCI"
814380;2.2625;48.83888888888889;"48°50'20.000""N 2°15'45.000""E";75116;"";25 R CLAUDE TERRASSE;75116;PARIS 16E ARRONDISSEMENT;Immeuble;34.0;"Copropriété, Syndic, SCI"
814382;2.3530555555555557;48.875;"48°52'30.000""N 2°21'11.000""E";75110;"";24 R DE PARADIS;75010;PARIS 10E ARRONDISSEMENT;Immeuble;31.0;Société Privée
814386;2.2616666666666667;48.85138888888889;"48°51'5.000""N 2°15'42.000""E";75116;"";67 BD  SUCHET;75116;PARIS 16E ARRONDISSEMENT;Immeuble;38.9;"Copropriété, Syndic, SCI"
814895;2.810277777777778;48.681666666666665;"48°40'54.000""N 2°48'37.000""E";77104;LA CHALOTTERIE;PROCHE N.36;77610;CHATRES;Pylône autostable;29.0;TOTEM
814962;2.3530555555555557;48.88;"48°52'48.000""N 2°21'11.000""E";75110;"";126 BD MAGENTA R DE DUNKERQUE;75010;PARIS 10E ARRONDISSEMENT;Immeuble;34.0;Société HLM
814964;2.3658333333333332;48.86944444444445;"48°52'10.000""N 2°21'57.000""E";75110;"";22 R LÉON JOUHAUX;75010;PARIS 10E ARRONDISSEMENT;Immeuble;26.0;Société Privée
814969;2.611666666666667;48.776944444444446;"48°46'37.000""N 2°36'42.000""E";77373;"";R DE MONTLHÉRY CCAL;77340;PONTAULT COMBAULT;Pylône autostable;35.0;ATC FRANCE
814981;2.297222222222222;48.873333333333335;"48°52'24.000""N 2°17'50.000""E";75108;"";BD  DES CHAMPS ELISÉES AU NIVEAU DU N° 152 AU ROND POINT DE LA PL DE GAULLE TUNNEL;75008;PARIS 8E ARRONDISSEMENT;Tunnel;4.0;"Commune, communauté de commune"
